shipment_id,order_id,carrier_id,lane_id,promised_delivery_ts,actual_delivery_ts,shipping_cost,late_penalty_cost,on_time_flag
SHP-000069,ORD-000069,CR-STD,LN-017,2025-03-23T23:58:00,2025-03-23T14:33:15,16.22,0.0,1
SHP-000070,ORD-000070,CR-EXP,LN-006,2025-03-23T23:54:00,2025-03-25T02:18:29,26.89,8.85,0
SHP-000071,ORD-000071,CR-EXP,LN-023,2025-10-09T21:48:00,2025-10-11T00:37:24,21.38,8.91,0
SHP-000072,ORD-000072,CR-REG,LN-022,2025-10-10T05:25:00,2025-10-11T17:32:22,13.93,10.27,0
SHP-000073,ORD-000073,CR-REG,LN-017,2025-05-29T03:12:00,2025-05-31T01:35:54,16.32,11.77,0
SHP-000074,ORD-000074,CR-STD,LN-024,2024-06-25T01:12:00,2024-06-25T11:15:57,13.11,6.47,0
SHP-000075,ORD-000075,CR-ECO,LN-005,2025-09-05T16:04:00,2025-09-02T07:47:24,12.61,0.0,1
SHP-000076,ORD-000076,CR-REG,LN-015,2025-07-04T00:39:00,2025-07-04T14:01:47,17.76,6.95,0
SHP-000077,ORD-000077,CR-REG,LN-012,2025-01-17T13:25:00,2025-01-24T00:25:01,17.83,27.6,0
SHP-000078,ORD-000078,CR-ECO,LN-007,2025-03-05T00:22:00,2025-02-27T03:31:05,10.96,0.0,1
SHP-000079,ORD-000079,CR-STD,LN-001,2024-07-21T05:02:00,2024-07-19T00:29:07,13.29,0.0,1
SHP-000080,ORD-000080,CR-STD,LN-009,2025-02-28T05:56:00,2025-03-02T18:05:22,15.18,13.77,0
SHP-000081,ORD-000081,CR-STD,LN-008,2024-05-02T05:12:00,2024-05-04T06:55:40,15.86,12.25,0
SHP-000082,ORD-000082,CR-ECO,LN-018,2025-11-23T01:26:00,2025-11-25T20:44:46,9.11,14.82,0
SHP-000083,ORD-000083,CR-STD,LN-024,2025-02-04T12:39:00,2025-02-06T00:49:56,14.81,10.28,0
SHP-000084,ORD-000084,CR-STD,LN-004,2024-11-24T04:55:00,2024-11-24T09:29:05,15.18,5.67,0
SHP-000085,ORD-000085,CR-REG,LN-007,2024-01-05T21:54:00,2024-01-03T17:34:10,11.16,0.0,1
SHP-000086,ORD-000086,CR-EXP,LN-023,2024-11-10T20:25:00,2024-11-12T18:30:41,23.89,11.72,0
SHP-000087,ORD-000087,CR-ECO,LN-001,2025-06-20T10:58:00,2025-06-15T06:45:45,5.95,0.0,1
SHP-000088,ORD-000088,CR-STD,LN-013,2024-06-30T10:21:00,2024-06-28T23:57:20,14.94,0.0,1
SHP-000089,ORD-000089,CR-REG,LN-016,2024-11-26T00:31:00,2024-11-26T00:51:43,15.68,5.05,0
SHP-000090,ORD-000090,CR-EXP,LN-024,2024-11-02T12:28:00,2024-11-04T01:35:40,22.94,10.41,0
SHP-000091,ORD-000091,CR-ECO,LN-007,2025-10-13T00:07:00,2025-10-07T21:19:22,10.07,0.0,1
SHP-000092,ORD-000092,CR-REG,LN-014,2025-01-18T00:22:00,2025-01-19T05:40:20,17.04,9.27,0
SHP-000093,ORD-000093,CR-EXP,LN-008,2024-11-25T21:56:00,2024-11-30T12:02:04,25.9,21.06,0
SHP-000094,ORD-000094,CR-ECO,LN-020,2025-04-04T19:36:00,2025-04-05T08:24:06,11.11,6.87,0
SHP-000095,ORD-000095,CR-STD,LN-005,2025-06-11T09:01:00,2025-06-11T13:34:45,15.56,5.67,0
SHP-000096,ORD-000096,CR-ECO,LN-004,2024-08-21T20:43:00,2024-08-22T20:32:56,13.56,8.48,0
SHP-000097,ORD-000097,CR-REG,LN-012,2024-04-28T16:13:00,2024-05-01T23:00:56,15.15,16.49,0
SHP-000098,ORD-000098,CR-EXP,LN-012,2025-05-10T03:25:00,2025-05-12T19:11:29,23.6,14.3,0
SHP-000099,ORD-000099,CR-STD,LN-021,2024-02-08T16:36:00,2024-02-11T00:58:36,17.32,13.22,0
SHP-000100,ORD-000100,CR-REG,LN-023,2024-10-17T05:26:00,2024-10-17T10:14:48,12.72,5.7,0
SHP-000101,ORD-000101,CR-STD,LN-009,2025-07-16T01:59:00,2025-07-15T19:41:51,17.72,0.0,1
SHP-000102,ORD-000102,CR-REG,LN-023,2024-10-26T10:35:00,2024-10-27T22:28:09,17.84,10.23,0
SHP-000103,ORD-000103,CR-REG,LN-008,2025-07-05T14:19:00,2025-07-06T20:00:14,18.95,9.33,0
SHP-000104,ORD-000104,CR-EXP,LN-008,2024-06-04T01:52:00,2024-06-06T12:35:12,23.01,13.56,0
SHP-000105,ORD-000105,CR-STD,LN-001,2024-08-21T11:43:00,2024-08-19T10:37:40,15.12,0.0,1
SHP-000106,ORD-000106,CR-REG,LN-025,2024-01-21T09:56:00,2024-01-19T07:06:04,16.11,0.0,1
SHP-000107,ORD-000107,CR-REG,LN-019,2025-04-14T11:14:00,2025-04-13T04:21:31,13.31,0.0,1
SHP-000108,ORD-000108,CR-STD,LN-010,2024-03-31T06:13:00,2024-04-01T13:01:26,13.93,9.49,0
SHP-000109,ORD-000109,CR-REG,LN-022,2025-02-09T09:38:00,2025-02-09T13:34:11,17.42,5.57,0
SHP-000110,ORD-000110,CR-STD,LN-003,2024-06-24T07:25:00,2024-06-27T16:06:28,17.02,16.77,0
SHP-000111,ORD-000111,CR-REG,LN-001,2025-03-05T11:01:00,2025-03-04T01:09:00,11.18,0.0,1
SHP-000112,ORD-000112,CR-REG,LN-016,2024-02-12T13:51:00,2024-02-14T05:47:10,15.52,10.82,0
SHP-000113,ORD-000113,CR-REG,LN-018,2024-12-28T19:04:00,2024-12-31T14:58:34,15.0,14.9,0
SHP-000114,ORD-000114,CR-STD,LN-016,2024-10-24T15:00:00,2024-10-23T10:06:25,16.44,0.0,1
SHP-000115,ORD-000115,CR-ECO,LN-021,2025-01-22T05:38:00,2025-01-21T02:41:11,11.67,0.0,1
SHP-000116,ORD-000116,CR-EXP,LN-016,2025-07-30T21:52:00,2025-08-02T03:11:31,26.62,12.78,0
SHP-000117,ORD-000117,CR-STD,LN-020,2024-02-28T14:22:00,2024-02-27T07:35:46,14.99,0.0,1
SHP-000118,ORD-000118,CR-ECO,LN-004,2025-11-28T17:16:00,2025-11-30T21:23:41,11.88,12.6,0
SHP-000119,ORD-000119,CR-EXP,LN-006,2024-09-25T08:55:00,2024-09-26T17:00:33,24.76,9.68,0
SHP-000120,ORD-000120,CR-STD,LN-002,2025-04-12T07:24:00,2025-04-15T04:18:40,15.99,15.05,0
SHP-000121,ORD-000121,CR-STD,LN-006,2024-11-16T15:12:00,2024-11-15T19:40:30,15.14,0.0,1
SHP-000122,ORD-000122,CR-STD,LN-022,2024-04-29T02:55:00,2024-04-29T01:19:00,11.53,0.0,1
SHP-000123,ORD-000123,CR-STD,LN-010,2025-07-29T15:40:00,2025-07-30T09:25:02,17.22,7.59,0
SHP-000124,ORD-000124,CR-ECO,LN-020,2024-01-15T04:42:00,2024-01-13T03:40:49,8.65,0.0,1
SHP-000125,ORD-000125,CR-EXP,LN-017,2024-12-23T01:13:00,2024-12-25T04:27:12,24.31,12.47,0
SHP-000126,ORD-000126,CR-REG,LN-021,2024-01-21T07:30:00,2024-01-21T10:25:47,16.18,5.43,0
SHP-000127,ORD-000127,CR-EXP,LN-016,2025-07-27T14:29:00,2025-07-29T02:50:21,23.26,10.3,0
SHP-000128,ORD-000128,CR-REG,LN-011,2024-07-14T16:11:00,2024-07-15T02:51:15,13.94,6.56,0
SHP-000129,ORD-000129,CR-EXP,LN-017,2025-01-17T11:06:00,2025-01-18T03:44:05,26.95,7.43,0
SHP-000130,ORD-000130,CR-REG,LN-008,2025-04-30T13:33:00,2025-05-05T12:51:24,19.97,22.4,0
SHP-000131,ORD-000131,CR-ECO,LN-016,2024-01-30T10:26:00,2024-01-27T19:35:55,6.92,0.0,1
SHP-000132,ORD-000132,CR-STD,LN-007,2024-03-29T05:18:00,2024-03-26T09:32:22,9.91,0.0,1
SHP-000133,ORD-000133,CR-REG,LN-001,2025-06-11T17:14:00,2025-06-10T15:41:00,15.93,0.0,1
SHP-000134,ORD-000134,CR-STD,LN-024,2025-06-08T14:26:00,2025-06-08T18:16:53,13.73,5.56,0
SHP-000135,ORD-000135,CR-REG,LN-011,2024-08-27T19:35:00,2024-08-27T07:29:06,14.8,0.0,1
SHP-000136,ORD-000136,CR-REG,LN-014,2024-12-13T07:10:00,2024-12-13T20:59:34,14.69,7.02,0
SHP-000137,ORD-000137,CR-ECO,LN-024,2026-01-06T00:59:00,2026-01-05T23:59:38,9.25,0.0,1
SHP-000138,ORD-000138,CR-REG,LN-014,2024-02-19T14:15:00,2024-02-20T15:35:16,13.16,8.7,0
SHP-000139,ORD-000139,CR-EXP,LN-004,2025-08-13T19:25:00,2025-08-17T06:33:53,27.92,17.13,0
SHP-000140,ORD-000140,CR-STD,LN-006,2025-03-08T16:39:00,2025-03-08T13:24:28,12.91,0.0,1
SHP-000141,ORD-000141,CR-STD,LN-014,2024-09-25T07:49:00,2024-09-25T04:52:24,12.23,0.0,1
SHP-000142,ORD-000142,CR-ECO,LN-019,2025-02-01T21:25:00,2025-01-27T11:44:21,9.88,0.0,1
SHP-000143,ORD-000143,CR-ECO,LN-004,2024-11-04T18:57:00,2024-11-04T06:03:27,10.97,0.0,1
SHP-000144,ORD-000144,CR-STD,LN-023,2025-08-21T05:17:00,2025-08-20T20:31:00,13.77,0.0,1
SHP-000145,ORD-000145,CR-ECO,LN-014,2024-08-02T00:06:00,2024-07-31T14:41:28,11.47,0.0,1
SHP-000146,ORD-000146,CR-STD,LN-013,2025-06-04T11:19:00,2025-06-03T04:55:40,15.31,0.0,1
SHP-000147,ORD-000147,CR-ECO,LN-005,2024-12-08T01:35:00,2024-12-06T10:59:19,7.73,0.0,1
SHP-000148,ORD-000148,CR-EXP,LN-022,2025-07-07T20:14:00,2025-07-08T15:01:35,22.06,7.74,0
SHP-000149,ORD-000149,CR-ECO,LN-003,2025-07-14T21:59:00,2025-07-17T10:18:44,8.69,13.8,0
SHP-000150,ORD-000150,CR-REG,LN-009,2024-02-01T01:34:00,2024-02-02T19:22:58,16.82,11.1,0
SHP-000151,ORD-000151,CR-REG,LN-020,2025-09-25T13:15:00,2025-09-27T03:31:16,17.08,10.58,0
SHP-000152,ORD-000152,CR-REG,LN-007,2025-05-31T21:19:00,2025-05-30T14:03:15,12.67,0.0,1
SHP-000153,ORD-000153,CR-ECO,LN-022,2025-01-09T14:05:00,2025-01-07T23:19:52,9.44,0.0,1
SHP-000154,ORD-000154,CR-ECO,LN-016,2024-01-28T00:54:00,2024-01-25T19:53:13,9.29,0.0,1
SHP-000155,ORD-000155,CR-EXP,LN-024,2024-08-31T23:58:00,2024-09-02T14:36:18,21.64,10.63,0
SHP-000156,ORD-000156,CR-STD,LN-021,2024-07-01T22:43:00,2024-07-02T20:26:47,13.22,8.17,0
SHP-000157,ORD-000157,CR-ECO,LN-025,2025-11-07T05:04:00,2025-11-02T19:54:23,7.42,0.0,1
SHP-000158,ORD-000158,CR-STD,LN-024,2024-05-29T07:46:00,2024-05-30T16:40:23,17.35,9.8,0
SHP-000159,ORD-000159,CR-REG,LN-004,2024-11-03T04:40:00,2024-11-06T21:50:27,16.96,18.0,0
SHP-000160,ORD-000160,CR-ECO,LN-006,2025-11-26T12:08:00,2025-11-23T15:57:57,10.76,0.0,1
SHP-000161,ORD-000161,CR-EXP,LN-006,2025-08-18T12:40:00,2025-08-19T14:48:19,21.2,8.81,0
SHP-000162,ORD-000162,CR-REG,LN-022,2025-10-20T00:11:00,2025-10-19T08:59:56,17.76,0.0,1
SHP-000163,ORD-000163,CR-EXP,LN-012,2024-04-13T10:34:00,2024-04-19T08:42:34,26.47,25.73,0
SHP-000164,ORD-000164,CR-REG,LN-013,2025-04-02T20:28:00,2025-04-02T16:58:12,17.12,0.0,1
SHP-000165,ORD-000165,CR-EXP,LN-010,2024-12-31T10:44:00,2025-01-04T15:22:44,27.3,19.68,0
SHP-000166,ORD-000166,CR-REG,LN-011,2025-12-19T18:14:00,2025-12-20T14:31:24,16.2,7.96,0
SHP-000167,ORD-000167,CR-ECO,LN-004,2025-11-07T14:27:00,2025-11-10T22:32:11,8.35,16.68,0
SHP-000168,ORD-000168,CR-REG,LN-021,2024-04-03T10:06:00,2024-04-05T09:53:28,18.54,11.97,0
SHP-000169,ORD-000169,CR-STD,LN-024,2024-06-25T23:44:00,2024-06-25T22:09:47,14.75,0.0,1
SHP-000170,ORD-000170,CR-EXP,LN-017,2025-01-14T09:07:00,2025-01-16T16:51:50,24.59,13.13,0
SHP-000171,ORD-000171,CR-REG,LN-016,2024-05-29T18:35:00,2024-05-29T04:27:22,17.95,0.0,1
SHP-000172,ORD-000172,CR-REG,LN-004,2025-10-27T15:36:00,2025-10-28T09:00:35,16.68,7.54,0
SHP-000173,ORD-000173,CR-STD,LN-003,2025-03-21T01:34:00,2025-03-24T18:55:44,16.34,18.03,0
SHP-000174,ORD-000174,CR-ECO,LN-007,2024-12-26T03:02:00,2024-12-20T04:41:52,7.14,0.0,1
SHP-000175,ORD-000175,CR-EXP,LN-025,2025-10-05T04:43:00,2025-10-05T09:46:13,23.09,5.74,0
SHP-000176,ORD-000176,CR-STD,LN-018,2026-01-01T11:01:00,2026-01-03T16:45:12,16.49,12.84,0
SHP-000177,ORD-000177,CR-ECO,LN-023,2025-04-05T12:28:00,2025-04-05T19:28:04,7.32,6.02,0
SHP-000178,ORD-000178,CR-STD,LN-009,2024-10-10T18:39:00,2024-10-10T10:54:38,16.17,0.0,1
SHP-000179,ORD-000179,CR-REG,LN-019,2025-04-04T06:31:00,2025-04-02T08:32:51,14.95,0.0,1
SHP-000180,ORD-000180,CR-ECO,LN-010,2024-12-14T01:26:00,2024-12-15T13:25:46,14.2,10.25,0
SHP-000181,ORD-000181,CR-ECO,LN-020,2025-04-18T22:05:00,2025-04-18T08:11:35,7.64,0.0,1
SHP-000182,ORD-000182,CR-EXP,LN-001,2025-03-06T02:29:00,2025-03-06T13:11:15,24.29,6.56,0
SHP-000183,ORD-000183,CR-REG,LN-014,2024-09-26T01:24:00,2024-09-26T16:28:10,14.17,7.2,0
SHP-000184,ORD-000184,CR-STD,LN-017,2025-03-16T02:34:00,2025-03-16T16:32:20,14.86,7.04,0
SHP-000185,ORD-000185,CR-ECO,LN-016,2025-10-22T13:19:00,2025-10-21T06:34:54,8.76,0.0,1
SHP-000186,ORD-000186,CR-STD,LN-018,2025-10-29T18:30:00,2025-10-29T08:11:51,15.87,0.0,1
SHP-000187,ORD-000187,CR-REG,LN-016,2024-03-27T08:34:00,2024-03-27T16:48:05,15.77,6.2,0
SHP-000188,ORD-000188,CR-REG,LN-019,2025-09-10T07:16:00,2025-09-08T19:07:35,16.42,0.0,1
SHP-000189,ORD-000189,CR-EXP,LN-014,2025-04-29T06:26:00,2025-05-01T16:19:48,24.45,13.44,0
SHP-000190,ORD-000190,CR-EXP,LN-001,2025-07-29T20:53:00,2025-07-29T22:08:46,21.5,5.18,0
SHP-000191,ORD-000191,CR-REG,LN-002,2024-11-07T22:52:00,2024-11-11T07:51:53,15.45,16.81,0
SHP-000192,ORD-000192,CR-STD,LN-020,2025-03-16T05:41:00,2025-03-14T19:47:38,16.48,0.0,1
SHP-000193,ORD-000193,CR-STD,LN-014,2024-04-11T09:49:00,2024-04-12T12:41:50,11.37,8.92,0
SHP-000194,ORD-000194,CR-REG,LN-020,2024-03-23T16:59:00,2024-03-23T22:02:45,13.28,5.74,0
SHP-000195,ORD-000195,CR-EXP,LN-012,2025-10-27T16:04:00,2025-11-02T01:49:42,28.47,23.92,0
SHP-000196,ORD-000196,CR-ECO,LN-018,2025-02-02T18:27:00,2025-02-04T00:50:55,11.44,9.43,0
SHP-000197,ORD-000197,CR-ECO,LN-011,2024-12-10T07:39:00,2024-12-09T12:41:33,6.35,0.0,1
SHP-000198,ORD-000198,CR-EXP,LN-025,2025-08-14T08:40:00,2025-08-14T19:46:22,24.36,6.62,0
SHP-000199,ORD-000199,CR-STD,LN-002,2025-11-28T15:31:00,2025-12-03T10:03:30,19.38,21.7,0
SHP-000200,ORD-000200,CR-STD,LN-017,2025-05-07T13:59:00,2025-05-06T19:22:58,13.67,0.0,1
SHP-000201,ORD-000201,CR-EXP,LN-007,2024-05-03T22:38:00,2024-05-03T13:14:18,24.51,0.0,1
SHP-000202,ORD-000202,CR-EXP,LN-016,2024-07-23T21:21:00,2024-07-26T02:29:08,23.72,12.75,0
SHP-000203,ORD-000203,CR-REG,LN-014,2025-09-02T14:50:00,2025-09-04T10:16:49,16.24,11.34,0
SHP-000204,ORD-000204,CR-REG,LN-006,2024-01-27T06:43:00,2024-01-28T12:53:41,13.49,9.4,0
SHP-000205,ORD-000205,CR-STD,LN-017,2025-04-22T09:20:00,2025-04-22T06:55:04,12.81,0.0,1
SHP-000206,ORD-000206,CR-STD,LN-015,2025-08-29T21:11:00,2025-08-30T04:58:52,14.42,6.14,0
SHP-000207,ORD-000207,CR-STD,LN-001,2024-04-15T03:46:00,2024-04-12T06:44:13,11.64,0.0,1
SHP-000208,ORD-000208,CR-EXP,LN-006,2025-02-10T09:37:00,2025-02-11T15:29:55,21.97,9.36,0
SHP-000209,ORD-000209,CR-ECO,LN-012,2024-03-03T19:03:00,2024-03-04T18:31:44,9.68,8.42,0
SHP-000210,ORD-000210,CR-ECO,LN-001,2025-02-17T23:44:00,2025-02-13T05:41:18,10.52,0.0,1
SHP-000211,ORD-000211,CR-ECO,LN-024,2024-07-09T00:17:00,2024-07-08T14:23:36,12.25,0.0,1
SHP-000212,ORD-000212,CR-REG,LN-009,2024-06-13T16:05:00,2024-06-14T07:39:15,14.99,7.27,0
SHP-000213,ORD-000213,CR-ECO,LN-021,2025-05-27T19:09:00,2025-05-30T19:09:50,9.72,15.5,0
SHP-000214,ORD-000214,CR-REG,LN-005,2025-07-20T20:18:00,2025-07-20T16:07:12,14.17,0.0,1
SHP-000215,ORD-000215,CR-REG,LN-023,2024-12-25T05:25:00,2024-12-27T04:42:51,16.83,11.9,0
SHP-000216,ORD-000216,CR-REG,LN-002,2025-10-29T03:20:00,2025-11-03T03:45:54,19.75,22.56,0
SHP-000217,ORD-000217,CR-EXP,LN-011,2025-02-05T21:30:00,2025-02-07T06:58:56,22.01,9.88,0
SHP-000218,ORD-000218,CR-STD,LN-001,2025-06-07T05:14:00,2025-06-04T15:35:57,12.64,0.0,1
SHP-000219,ORD-000219,CR-ECO,LN-019,2024-05-29T04:57:00,2024-05-25T09:04:31,8.85,0.0,1
SHP-000220,ORD-000220,CR-ECO,LN-016,2025-03-28T08:32:00,2025-03-25T12:37:40,11.48,0.0,1
SHP-000221,ORD-000221,CR-EXP,LN-024,2025-10-27T01:27:00,2025-10-28T22:51:08,22.93,11.62,0
SHP-000222,ORD-000222,CR-REG,LN-025,2025-06-04T01:21:00,2025-06-03T04:48:41,11.21,0.0,1
SHP-000223,ORD-000223,CR-ECO,LN-021,2024-12-17T14:39:00,2024-12-20T13:11:34,12.02,15.29,0
SHP-000224,ORD-000224,CR-ECO,LN-005,2024-08-09T14:55:00,2024-08-07T02:07:14,8.66,0.0,1
SHP-000225,ORD-000225,CR-REG,LN-015,2024-01-30T16:01:00,2024-01-30T18:53:33,16.02,5.42,0
