event_id,shipment_id,stage,event_ts
EVT-0000035,SHP-000006,IN_TRANSIT,2025-05-14T08:58:52
EVT-0000036,SHP-000006,DELIVERED,2025-05-17T03:29:52
EVT-0000037,SHP-000007,ORDERED,2024-02-02T15:54:00
EVT-0000038,SHP-000007,PICKED,2024-02-03T00:14:24
EVT-0000039,SHP-000007,PACKED,2024-02-03T05:26:20
EVT-0000040,SHP-000007,SHIPPED,2024-02-03T07:46:38
EVT-0000041,SHP-000007,IN_TRANSIT,2024-02-03T10:31:54
EVT-0000042,SHP-000007,DELIVERED,2024-02-10T00:15:01
EVT-0000043,SHP-000008,ORDERED,2025-05-17T13:38:00
EVT-0000044,SHP-000008,PICKED,2025-05-17T21:13:39
EVT-0000045,SHP-000008,PACKED,2025-05-18T00:54:16
EVT-0000046,SHP-000008,SHIPPED,2025-05-18T12:08:51
EVT-0000047,SHP-000008,IN_TRANSIT,2025-05-18T14:11:16
EVT-0000048,SHP-000008,DELIVERED,2025-05-23T04:52:16
EVT-0000049,SHP-000009,ORDERED,2025-07-17T03:29:00
EVT-0000050,SHP-000009,PICKED,2025-07-17T08:04:10
EVT-0000051,SHP-000009,PACKED,2025-07-17T09:45:22
EVT-0000052,SHP-000009,SHIPPED,2025-07-17T14:55:14
EVT-0000053,SHP-000009,IN_TRANSIT,2025-07-17T16:31:42
EVT-0000054,SHP-000009,DELIVERED,2025-07-22T17:38:15
EVT-0000055,SHP-000010,ORDERED,2025-07-27T20:05:00
EVT-0000056,SHP-000010,PICKED,2025-07-28T04:52:28
EVT-0000057,SHP-000010,PACKED,2025-07-28T06:46:49
EVT-0000058,SHP-000010,SHIPPED,2025-07-28T13:56:35
EVT-0000059,SHP-000010,IN_TRANSIT,2025-07-28T16:49:20
EVT-0000060,SHP-000010,DELIVERED,2025-08-07T21:19:00
EVT-0000061,SHP-000011,ORDERED,2024-08-18T00:00:00
EVT-0000062,SHP-000011,PICKED,2024-08-18T08:14:45
EVT-0000063,SHP-000011,PACKED,2024-08-18T13:09:25
EVT-0000064,SHP-000011,SHIPPED,2024-08-19T00:21:44
EVT-0000065,SHP-000011,IN_TRANSIT,2024-08-19T03:05:47
EVT-0000066,SHP-000011,DELIVERED,2024-08-21T22:42:09
EVT-0000067,SHP-000012,ORDERED,2024-08-12T18:41:00
EVT-0000068,SHP-000012,PICKED,2024-08-13T00:01:28
EVT-0000069,SHP-000012,PACKED,2024-08-13T02:32:35
EVT-0000070,SHP-000012,SHIPPED,2024-08-13T11:54:45
EVT-0000071,SHP-000012,IN_TRANSIT,2024-08-13T12:55:58
EVT-0000072,SHP-000012,DELIVERED,2024-08-14T12:50:40
EVT-0000073,SHP-000013,ORDERED,2025-03-17T19:11:00
EVT-0000074,SHP-000013,PICKED,2025-03-18T00:33:00
EVT-0000075,SHP-000013,PACKED,2025-03-18T06:25:31
EVT-0000076,SHP-000013,SHIPPED,2025-03-18T16:17:33
EVT-0000077,SHP-000013,IN_TRANSIT,2025-03-18T18:22:14
EVT-0000078,SHP-000013,DELIVERED,2025-03-21T00:35:30
EVT-0000079,SHP-000014,ORDERED,2025-02-06T01:52:00
EVT-0000080,SHP-000014,PICKED,2025-02-06T06:46:18
EVT-0000081,SHP-000014,PACKED,2025-02-06T12:36:14
EVT-0000082,SHP-000014,SHIPPED,2025-02-06T19:59:17
EVT-0000083,SHP-000014,IN_TRANSIT,2025-02-06T21:43:28
EVT-0000084,SHP-000014,DELIVERED,2025-02-16T13:16:18
EVT-0000085,SHP-000015,ORDERED,2024-10-20T23:04:00
EVT-0000086,SHP-000015,PICKED,2024-10-21T04:40:39
EVT-0000087,SHP-000015,PACKED,2024-10-21T09:06:06
EVT-0000088,SHP-000015,SHIPPED,2024-10-21T15:10:03
EVT-0000089,SHP-000015,IN_TRANSIT,2024-10-21T16:36:39
EVT-0000090,SHP-000015,DELIVERED,2024-10-25T00:52:57
EVT-0000091,SHP-000016,ORDERED,2025-10-21T03:18:00
EVT-0000092,SHP-000016,PICKED,2025-10-21T12:00:07
EVT-0000093,SHP-000016,PACKED,2025-10-21T17:06:33
EVT-0000094,SHP-000016,SHIPPED,2025-10-22T03:26:52
EVT-0000095,SHP-000016,IN_TRANSIT,2025-10-22T07:19:47
EVT-0000096,SHP-000016,DELIVERED,2025-10-24T15:12:41
EVT-0000097,SHP-000017,ORDERED,2025-10-02T10:27:00
EVT-0000098,SHP-000017,PICKED,2025-10-03T01:47:54
EVT-0000099,SHP-000017,PACKED,2025-10-03T09:45:25
EVT-0000100,SHP-000017,SHIPPED,2025-10-03T16:02:29
EVT-0000101,SHP-000017,IN_TRANSIT,2025-10-03T19:00:07
EVT-0000102,SHP-000017,DELIVERED,2025-10-06T17:09:58
EVT-0000103,SHP-000018,ORDERED,2025-07-25T16:01:00
EVT-0000104,SHP-000018,PICKED,2025-07-25T21:46:08
EVT-0000105,SHP-000018,PACKED,2025-07-26T02:12:29
EVT-0000106,SHP-000018,SHIPPED,2025-07-26T12:39:20
EVT-0000107,SHP-000018,IN_TRANSIT,2025-07-26T15:49:05
EVT-0000108,SHP-000018,DELIVERED,2025-07-29T01:47:24
EVT-0000109,SHP-000019,ORDERED,2024-04-08T18:47:00
EVT-0000110,SHP-000019,PICKED,2024-04-09T03:07:02
EVT-0000111,SHP-000019,PACKED,2024-04-09T06:44:09
EVT-0000112,SHP-000019,SHIPPED,2024-04-09T10:30:26
EVT-0000113,SHP-000019,IN_TRANSIT,2024-04-09T12:22:45
EVT-0000114,SHP-000019,DELIVERED,2024-04-11T07:52:47
EVT-0000115,SHP-000020,ORDERED,2024-04-08T17:45:00
EVT-0000116,SHP-000020,PICKED,2024-04-09T04:14:55
EVT-0000117,SHP-000020,PACKED,2024-04-09T13:32:33
EVT-0000118,SHP-000020,SHIPPED,2024-04-09T23:15:37
EVT-0000119,SHP-000020,IN_TRANSIT,2024-04-10T02:23:34
EVT-0000120,SHP-000020,DELIVERED,2024-04-12T23:53:28
EVT-0000121,SHP-000021,ORDERED,2025-02-01T20:47:00
EVT-0000122,SHP-000021,PICKED,2025-02-02T03:39:30
EVT-0000123,SHP-000021,PACKED,2025-02-02T09:19:13
EVT-0000124,SHP-000021,SHIPPED,2025-02-02T13:18:59
EVT-0000125,SHP-000021,IN_TRANSIT,2025-02-02T15:24:10
EVT-0000126,SHP-000021,DELIVERED,2025-02-06T19:06:34
EVT-0000127,SHP-000022,ORDERED,2025-07-16T21:07:00
EVT-0000128,SHP-000022,PICKED,2025-07-17T01:19:24
EVT-0000129,SHP-000022,PACKED,2025-07-17T03:54:28
EVT-0000130,SHP-000022,SHIPPED,2025-07-17T06:08:11
EVT-0000131,SHP-000022,IN_TRANSIT,2025-07-17T09:14:16
EVT-0000132,SHP-000022,DELIVERED,2025-07-20T01:25:28
EVT-0000133,SHP-000023,ORDERED,2025-03-28T15:18:00
EVT-0000134,SHP-000023,PICKED,2025-03-28T17:33:12
EVT-0000135,SHP-000023,PACKED,2025-03-28T19:38:36
EVT-0000136,SHP-000023,SHIPPED,2025-03-28T23:54:42
EVT-0000137,SHP-000023,IN_TRANSIT,2025-03-29T01:47:12
EVT-0000138,SHP-000023,DELIVERED,2025-04-01T21:56:14
EVT-0000139,SHP-000024,ORDERED,2024-02-06T23:28:00
EVT-0000140,SHP-000024,PICKED,2024-02-07T04:27:09
EVT-0000141,SHP-000024,PACKED,2024-02-07T05:54:11
EVT-0000142,SHP-000024,SHIPPED,2024-02-07T16:10:27
EVT-0000143,SHP-000024,IN_TRANSIT,2024-02-07T19:00:48
EVT-0000144,SHP-000024,DELIVERED,2024-02-10T22:19:36
EVT-0000145,SHP-000025,ORDERED,2024-06-09T02:17:00
EVT-0000146,SHP-000025,PICKED,2024-06-09T05:03:36
EVT-0000147,SHP-000025,PACKED,2024-06-09T06:44:46
EVT-0000148,SHP-000025,SHIPPED,2024-06-09T12:25:01
EVT-0000149,SHP-000025,IN_TRANSIT,2024-06-09T14:39:15
EVT-0000150,SHP-000025,DELIVERED,2024-06-13T08:52:53
EVT-0000151,SHP-000026,ORDERED,2025-09-30T09:01:00
EVT-0000152,SHP-000026,PICKED,2025-09-30T14:38:19
EVT-0000153,SHP-000026,PACKED,2025-09-30T16:44:20
EVT-0000154,SHP-000026,SHIPPED,2025-10-01T04:34:48
EVT-0000155,SHP-000026,IN_TRANSIT,2025-10-01T07:52:51
EVT-0000156,SHP-000026,DELIVERED,2025-10-08T13:44:56
EVT-0000157,SHP-000027,ORDERED,2025-02-11T12:59:00
EVT-0000158,SHP-000027,PICKED,2025-02-11T22:45:31
EVT-0000159,SHP-000027,PACKED,2025-02-12T03:13:36
EVT-0000160,SHP-000027,SHIPPED,2025-02-12T05:36:14
EVT-0000161,SHP-000027,IN_TRANSIT,2025-02-12T08:03:34
EVT-0000162,SHP-000027,DELIVERED,2025-02-13T07:57:09
EVT-0000163,SHP-000028,ORDERED,2025-04-15T14:27:00
EVT-0000164,SHP-000028,PICKED,2025-04-15T21:27:40
EVT-0000165,SHP-000028,PACKED,2025-04-15T23:26:19
EVT-0000166,SHP-000028,SHIPPED,2025-04-16T07:19:23
EVT-0000167,SHP-000028,IN_TRANSIT,2025-04-16T08:29:34
EVT-0000168,SHP-000028,DELIVERED,2025-04-18T22:37:55
EVT-0000169,SHP-000029,ORDERED,2024-05-29T21:48:00
EVT-0000170,SHP-000029,PICKED,2024-05-30T02:39:40
EVT-0000171,SHP-000029,PACKED,2024-05-30T13:20:10
EVT-0000172,SHP-000029,SHIPPED,2024-05-30T20:26:01
EVT-0000173,SHP-000029,IN_TRANSIT,2024-05-31T00:24:59
EVT-0000174,SHP-000029,DELIVERED,2024-06-04T18:56:34
EVT-0000175,SHP-000030,ORDERED,2024-01-05T06:03:00
EVT-0000176,SHP-000030,PICKED,2024-01-05T20:12:51
EVT-0000177,SHP-000030,PACKED,2024-01-06T05:15:14
EVT-0000178,SHP-000030,SHIPPED,2024-01-06T10:54:31
EVT-0000179,SHP-000030,IN_TRANSIT,2024-01-06T13:46:38
EVT-0000180,SHP-000030,DELIVERED,2024-01-11T02:22:06
EVT-0000181,SHP-000031,ORDERED,2025-09-27T09:29:00
EVT-0000182,SHP-000031,PICKED,2025-09-27T17:05:51
EVT-0000183,SHP-000031,PACKED,2025-09-27T22:38:42
EVT-0000184,SHP-000031,SHIPPED,2025-09-28T02:32:26
EVT-0000185,SHP-000031,IN_TRANSIT,2025-09-28T04:48:53
EVT-0000186,SHP-000031,DELIVERED,2025-10-06T08:23:41
EVT-0000187,SHP-000032,ORDERED,2025-09-25T00:46:00
EVT-0000188,SHP-000032,PICKED,2025-09-25T08:13:34
EVT-0000189,SHP-000032,PACKED,2025-09-25T13:10:16
EVT-0000190,SHP-000032,SHIPPED,2025-09-26T00:01:58
EVT-0000191,SHP-000032,IN_TRANSIT,2025-09-26T01:57:41
EVT-0000192,SHP-000032,DELIVERED,2025-10-02T06:56:15
EVT-0000193,SHP-000033,ORDERED,2025-12-04T04:21:00
EVT-0000194,SHP-000033,PICKED,2025-12-04T08:55:46
EVT-0000195,SHP-000033,PACKED,2025-12-04T12:42:09
EVT-0000196,SHP-000033,SHIPPED,2025-12-05T00:35:45
EVT-0000197,SHP-000033,IN_TRANSIT,2025-12-05T01:43:58
EVT-0000198,SHP-000033,DELIVERED,2025-12-15T19:36:56
EVT-0000199,SHP-000034,ORDERED,2025-07-04T03:32:00
EVT-0000200,SHP-000034,PICKED,2025-07-04T09:19:10
EVT-0000201,SHP-000034,PACKED,2025-07-04T10:32:19
EVT-0000202,SHP-000034,SHIPPED,2025-07-04T13:55:01
EVT-0000203,SHP-000034,IN_TRANSIT,2025-07-04T16:13:57
EVT-0000204,SHP-000034,DELIVERED,2025-07-11T05:45:45
EVT-0000205,SHP-000035,ORDERED,2025-10-20T00:55:00
EVT-0000206,SHP-000035,PICKED,2025-10-20T10:45:18
EVT-0000207,SHP-000035,PACKED,2025-10-20T13:34:24
EVT-0000208,SHP-000035,SHIPPED,2025-10-20T16:13:17
EVT-0000209,SHP-000035,IN_TRANSIT,2025-10-20T18:42:00
EVT-0000210,SHP-000035,DELIVERED,2025-10-24T06:14:15
EVT-0000211,SHP-000036,ORDERED,2025-11-21T10:36:00
EVT-0000212,SHP-000036,PICKED,2025-11-21T20:12:01
EVT-0000213,SHP-000036,PACKED,2025-11-21T22:08:30
EVT-0000214,SHP-000036,SHIPPED,2025-11-22T04:29:40
EVT-0000215,SHP-000036,IN_TRANSIT,2025-11-22T06:06:29
EVT-0000216,SHP-000036,DELIVERED,2025-11-26T08:17:48
EVT-0000217,SHP-000037,ORDERED,2024-01-12T13:01:00
EVT-0000218,SHP-000037,PICKED,2024-01-12T20:13:21
EVT-0000219,SHP-000037,PACKED,2024-01-13T01:57:41
EVT-0000220,SHP-000037,SHIPPED,2024-01-13T04:22:36
EVT-0000221,SHP-000037,IN_TRANSIT,2024-01-13T06:35:50
EVT-0000222,SHP-000037,DELIVERED,2024-01-18T01:06:13
EVT-0000223,SHP-000038,ORDERED,2024-04-24T08:06:00
EVT-0000224,SHP-000038,PICKED,2024-04-24T18:36:54
EVT-0000225,SHP-000038,PACKED,2024-04-25T04:07:14
EVT-0000226,SHP-000038,SHIPPED,2024-04-25T13:41:42
EVT-0000227,SHP-000038,IN_TRANSIT,2024-04-25T17:04:07
EVT-0000228,SHP-000038,DELIVERED,2024-04-29T12:02:35
EVT-0000229,SHP-000039,ORDERED,2024-10-03T03:09:00
EVT-0000230,SHP-000039,PICKED,2024-10-03T06:20:58
EVT-0000231,SHP-000039,PACKED,2024-10-03T09:40:13
EVT-0000232,SHP-000039,SHIPPED,2024-10-03T13:53:40
EVT-0000233,SHP-000039,IN_TRANSIT,2024-10-03T16:59:35
EVT-0000234,SHP-000039,DELIVERED,2024-10-11T11:26:43
EVT-0000235,SHP-000040,ORDERED,2025-01-03T22:12:00
EVT-0000236,SHP-000040,PICKED,2025-01-04T04:11:53
EVT-0000237,SHP-000040,PACKED,2025-01-04T09:38:17
EVT-0000238,SHP-000040,SHIPPED,2025-01-04T13:32:31
EVT-0000239,SHP-000040,IN_TRANSIT,2025-01-04T16:47:18
EVT-0000240,SHP-000040,DELIVERED,2025-01-07T17:43:53
EVT-0000241,SHP-000041,ORDERED,2024-12-07T12:58:00
EVT-0000242,SHP-000041,PICKED,2024-12-07T22:56:32
EVT-0000243,SHP-000041,PACKED,2024-12-08T03:59:50
EVT-0000244,SHP-000041,SHIPPED,2024-12-08T10:14:39
EVT-0000245,SHP-000041,IN_TRANSIT,2024-12-08T13:10:29
EVT-0000246,SHP-000041,DELIVERED,2024-12-12T15:52:20
EVT-0000247,SHP-000042,ORDERED,2025-05-20T14:15:00
EVT-0000248,SHP-000042,PICKED,2025-05-20T18:28:05
EVT-0000249,SHP-000042,PACKED,2025-05-20T22:58:12
EVT-0000250,SHP-000042,SHIPPED,2025-05-21T09:59:51
EVT-0000251,SHP-000042,IN_TRANSIT,2025-05-21T11:14:54
EVT-0000252,SHP-000042,DELIVERED,2025-05-26T18:49:14
EVT-0000253,SHP-000043,ORDERED,2024-05-30T15:56:00
EVT-0000254,SHP-000043,PICKED,2024-05-30T23:37:28
EVT-0000255,SHP-000043,PACKED,2024-05-31T01:31:03
EVT-0000256,SHP-000043,SHIPPED,2024-05-31T12:56:20
EVT-0000257,SHP-000043,IN_TRANSIT,2024-05-31T15:21:00
EVT-0000258,SHP-000043,DELIVERED,2024-06-02T23:54:59
EVT-0000259,SHP-000044,ORDERED,2025-08-10T08:09:00
EVT-0000260,SHP-000044,PICKED,2025-08-10T15:39:20
EVT-0000261,SHP-000044,PACKED,2025-08-10T18:53:30
EVT-0000262,SHP-000044,SHIPPED,2025-08-11T04:41:43
EVT-0000263,SHP-000044,IN_TRANSIT,2025-08-11T06:15:27
EVT-0000264,SHP-000044,DELIVERED,2025-08-13T18:56:59
EVT-0000265,SHP-000045,ORDERED,2025-01-27T17:26:00
EVT-0000266,SHP-000045,PICKED,2025-01-27T20:46:04
EVT-0000267,SHP-000045,PACKED,2025-01-28T02:26:20
EVT-0000268,SHP-000045,SHIPPED,2025-01-28T10:55:04
EVT-0000269,SHP-000045,IN_TRANSIT,2025-01-28T13:21:05
EVT-0000270,SHP-000045,DELIVERED,2025-02-01T11:29:13
EVT-0000271,SHP-000046,ORDERED,2025-05-25T06:24:00
EVT-0000272,SHP-000046,PICKED,2025-05-25T09:44:38
EVT-0000273,SHP-000046,PACKED,2025-05-25T15:15:08
EVT-0000274,SHP-000046,SHIPPED,2025-05-25T20:50:49
EVT-0000275,SHP-000046,IN_TRANSIT,2025-05-25T23:11:26
EVT-0000276,SHP-000046,DELIVERED,2025-05-27T04:19:43
EVT-0000277,SHP-000047,ORDERED,2025-12-14T18:38:00
EVT-0000278,SHP-000047,PICKED,2025-12-15T01:15:09
EVT-0000279,SHP-000047,PACKED,2025-12-15T06:54:24
EVT-0000280,SHP-000047,SHIPPED,2025-12-15T18:27:47
EVT-0000281,SHP-000047,IN_TRANSIT,2025-12-15T20:22:50
EVT-0000282,SHP-000047,DELIVERED,2025-12-19T06:50:50
EVT-0000283,SHP-000048,ORDERED,2025-01-21T12:27:00
EVT-0000284,SHP-000048,PICKED,2025-01-21T19:16:15
EVT-0000285,SHP-000048,PACKED,2025-01-21T20:45:41
EVT-0000286,SHP-000048,SHIPPED,2025-01-22T01:12:59
EVT-0000287,SHP-000048,IN_TRANSIT,2025-01-22T02:20:32
EVT-0000288,SHP-000048,DELIVERED,2025-01-29T04:10:36
EVT-0000289,SHP-000049,ORDERED,2025-07-09T12:31:00
EVT-0000290,SHP-000049,PICKED,2025-07-09T18:49:58
EVT-0000291,SHP-000049,PACKED,2025-07-09T21:06:52
EVT-0000292,SHP-000049,SHIPPED,2025-07-10T07:30:34
EVT-0000293,SHP-000049,IN_TRANSIT,2025-07-10T10:23:57
EVT-0000294,SHP-000049,DELIVERED,2025-07-14T10:06:45
EVT-0000295,SHP-000050,ORDERED,2024-10-31T13:14:00
EVT-0000296,SHP-000050,PICKED,2024-10-31T23:02:46
EVT-0000297,SHP-000050,PACKED,2024-11-01T03:58:16
EVT-0000298,SHP-000050,SHIPPED,2024-11-01T14:13:38
EVT-0000299,SHP-000050,IN_TRANSIT,2024-11-01T17:34:31
EVT-0000300,SHP-000050,DELIVERED,2024-11-04T14:35:06
EVT-0000301,SHP-000051,ORDERED,2024-12-23T11:23:00
EVT-0000302,SHP-000051,PICKED,2024-12-23T14:08:35
EVT-0000303,SHP-000051,PACKED,2024-12-23T17:38:14
EVT-0000304,SHP-000051,SHIPPED,2024-12-24T01:27:59
EVT-0000305,SHP-000051,IN_TRANSIT,2024-12-24T03:30:52
EVT-0000306,SHP-000051,DELIVERED,2024-12-31T12:55:26
EVT-0000307,SHP-000052,ORDERED,2025-12-04T21:16:00
EVT-0000308,SHP-000052,PICKED,2025-12-05T14:09:54
EVT-0000309,SHP-000052,PACKED,2025-12-05T21:00:59
EVT-0000310,SHP-000052,SHIPPED,2025-12-06T01:31:59
EVT-0000311,SHP-000052,IN_TRANSIT,2025-12-06T03:42:01
EVT-0000312,SHP-000052,DELIVERED,2025-12-12T21:53:47
EVT-0000313,SHP-000053,ORDERED,2024-09-09T05:17:00
EVT-0000314,SHP-000053,PICKED,2024-09-09T14:53:04
EVT-0000315,SHP-000053,PACKED,2024-09-09T16:06:30
EVT-0000316,SHP-000053,SHIPPED,2024-09-10T00:08:24
EVT-0000317,SHP-000053,IN_TRANSIT,2024-09-10T01:18:44
EVT-0000318,SHP-000053,DELIVERED,2024-09-16T21:15:26
EVT-0000319,SHP-000054,ORDERED,2024-10-08T21:58:00
EVT-0000320,SHP-000054,PICKED,2024-10-09T05:25:35
EVT-0000321,SHP-000054,PACKED,2024-10-09T09:50:32
EVT-0000322,SHP-000054,SHIPPED,2024-10-09T16:10:43
EVT-0000323,SHP-000054,IN_TRANSIT,2024-10-09T18:07:45
EVT-0000324,SHP-000054,DELIVERED,2024-10-16T01:09:22
EVT-0000325,SHP-000055,ORDERED,2025-06-01T16:04:00
EVT-0000326,SHP-000055,PICKED,2025-06-01T22:10:35
EVT-0000327,SHP-000055,PACKED,2025-06-02T02:55:08
EVT-0000328,SHP-000055,SHIPPED,2025-06-02T09:42:01
EVT-0000329,SHP-000055,IN_TRANSIT,2025-06-02T13:13:56
EVT-0000330,SHP-000055,DELIVERED,2025-06-05T19:51:41
EVT-0000331,SHP-000056,ORDERED,2025-11-15T12:03:00
EVT-0000332,SHP-000056,PICKED,2025-11-15T14:11:21
EVT-0000333,SHP-000056,PACKED,2025-11-15T18:00:10
EVT-0000334,SHP-000056,SHIPPED,2025-11-16T04:26:39
EVT-0000335,SHP-000056,IN_TRANSIT,2025-11-16T06:45:07
EVT-0000336,SHP-000056,DELIVERED,2025-11-21T14:37:08
EVT-0000337,SHP-000057,ORDERED,2024-11-01T11:00:00
EVT-0000338,SHP-000057,PICKED,2024-11-01T17:10:22
EVT-0000339,SHP-000057,PACKED,2024-11-01T21:06:03
EVT-0000340,SHP-000057,SHIPPED,2024-11-02T06:59:12
EVT-0000341,SHP-000057,IN_TRANSIT,2024-11-02T10:28:50
EVT-0000342,SHP-000057,DELIVERED,2024-11-06T05:15:22
EVT-0000343,SHP-000058,ORDERED,2024-04-12T05:59:00
EVT-0000344,SHP-000058,PICKED,2024-04-12T10:12:11
EVT-0000345,SHP-000058,PACKED,2024-04-12T13:58:42
EVT-0000346,SHP-000058,SHIPPED,2024-04-12T20:37:57
EVT-0000347,SHP-000058,IN_TRANSIT,2024-04-12T21:54:04
EVT-0000348,SHP-000058,DELIVERED,2024-04-17T09:35:42
EVT-0000349,SHP-000059,ORDERED,2024-11-03T05:32:00
EVT-0000350,SHP-000059,PICKED,2024-11-03T14:44:59
EVT-0000351,SHP-000059,PACKED,2024-11-03T18:32:26
EVT-0000352,SHP-000059,SHIPPED,2024-11-04T01:56:24
EVT-0000353,SHP-000059,IN_TRANSIT,2024-11-04T03:21:12
EVT-0000354,SHP-000059,DELIVERED,2024-11-09T11:19:26
EVT-0000355,SHP-000060,ORDERED,2025-05-22T19:23:00
EVT-0000356,SHP-000060,PICKED,2025-05-23T11:38:20
EVT-0000357,SHP-000060,PACKED,2025-05-23T13:44:21
EVT-0000358,SHP-000060,SHIPPED,2025-05-23T20:58:33
EVT-0000359,SHP-000060,IN_TRANSIT,2025-05-24T00:19:15
EVT-0000360,SHP-000060,DELIVERED,2025-06-06T22:06:45
EVT-0000361,SHP-000061,ORDERED,2024-04-20T22:54:00
EVT-0000362,SHP-000061,PICKED,2024-04-21T03:24:41
EVT-0000363,SHP-000061,PACKED,2024-04-21T09:18:36
EVT-0000364,SHP-000061,SHIPPED,2024-04-21T20:11:24
EVT-0000365,SHP-000061,IN_TRANSIT,2024-04-21T21:47:04
EVT-0000366,SHP-000061,DELIVERED,2024-04-25T04:13:14
EVT-0000367,SHP-000062,ORDERED,2024-01-05T17:27:00
EVT-0000368,SHP-000062,PICKED,2024-01-05T21:23:26
EVT-0000369,SHP-000062,PACKED,2024-01-06T05:10:24
EVT-0000370,SHP-000062,SHIPPED,2024-01-06T12:52:12
EVT-0000371,SHP-000062,IN_TRANSIT,2024-01-06T16:36:13
EVT-0000372,SHP-000062,DELIVERED,2024-01-07T20:34:45
EVT-0000373,SHP-000063,ORDERED,2024-02-15T01:48:00
EVT-0000374,SHP-000063,PICKED,2024-02-15T10:34:37
EVT-0000375,SHP-000063,PACKED,2024-02-15T11:34:53
EVT-0000376,SHP-000063,SHIPPED,2024-02-15T17:40:01
EVT-0000377,SHP-000063,IN_TRANSIT,2024-02-15T19:36:21
EVT-0000378,SHP-000063,DELIVERED,2024-02-22T15:52:43
EVT-0000379,SHP-000064,ORDERED,2024-12-02T03:00:00
EVT-0000380,SHP-000064,PICKED,2024-12-02T12:24:02
EVT-0000381,SHP-000064,PACKED,2024-12-02T15:46:18
EVT-0000382,SHP-000064,SHIPPED,2024-12-02T18:32:26
EVT-0000383,SHP-000064,IN_TRANSIT,2024-12-02T22:12:31
EVT-0000384,SHP-000064,DELIVERED,2024-12-05T17:46:52
EVT-0000385,SHP-000065,ORDERED,2024-03-18T23:01:00
EVT-0000386,SHP-000065,PICKED,2024-03-19T13:15:17
EVT-0000387,SHP-000065,PACKED,2024-03-19T17:22:12
EVT-0000388,SHP-000065,SHIPPED,2024-03-20T04:57:03
EVT-0000389,SHP-000065,IN_TRANSIT,2024-03-20T06:23:13
EVT-0000390,SHP-000065,DELIVERED,2024-03-30T06:18:39
EVT-0000391,SHP-000066,ORDERED,2024-09-30T05:34:00
EVT-0000392,SHP-000066,PICKED,2024-09-30T11:31:32
EVT-0000393,SHP-000066,PACKED,2024-09-30T14:40:27
EVT-0000394,SHP-000066,SHIPPED,2024-10-01T00:48:38
EVT-0000395,SHP-000066,IN_TRANSIT,2024-10-01T04:22:26
EVT-0000396,SHP-000066,DELIVERED,2024-10-02T18:11:27
EVT-0000397,SHP-000067,ORDERED,2024-08-18T21:25:00
EVT-0000398,SHP-000067,PICKED,2024-08-19T04:13:50
EVT-0000399,SHP-000067,PACKED,2024-08-19T09:15:48
EVT-0000400,SHP-000067,SHIPPED,2024-08-19T19:00:41
EVT-0000401,SHP-000067,IN_TRANSIT,2024-08-19T20:39:31
EVT-0000402,SHP-000067,DELIVERED,2024-08-28T18:41:57
