order_id,order_ts,warehouse_id,dest_region,product_category,order_value,units
ORD-000032,2025-09-25T00:46:00,WH-CHI,West,Sports,111.85,5
ORD-000033,2025-12-04T04:21:00,WH-CHI,Southeast,Home,53.25,5
ORD-000034,2025-07-04T03:32:00,WH-CHI,Northeast,Beauty,195.39,2
ORD-000035,2025-10-20T00:55:00,WH-LAX,Midwest,Home,95.33,1
ORD-000036,2025-11-21T10:36:00,WH-DAL,West,Home,123.53,5
ORD-000037,2024-01-12T13:01:00,WH-LAX,South,Apparel,113.15,2
ORD-000038,2024-04-24T08:06:00,WH-ATL,West,Sports,44.76,1
ORD-000039,2024-10-03T03:09:00,WH-DAL,West,Beauty,142.2,5
ORD-000040,2025-01-03T22:12:00,WH-LAX,Northeast,Grocery,40.48,1
ORD-000041,2024-12-07T12:58:00,WH-DAL,Northeast,Electronics,79.24,3
ORD-000042,2025-05-20T14:15:00,WH-LAX,South,Home,57.65,5
ORD-000043,2024-05-30T15:56:00,WH-LAX,Midwest,Apparel,119.42,2
ORD-000044,2025-08-10T08:09:00,WH-NJ,Northeast,Grocery,56.94,2
ORD-000045,2025-01-27T17:26:00,WH-LAX,Midwest,Home,125.58,1
ORD-000046,2025-05-25T06:24:00,WH-CHI,Midwest,Sports,74.74,3
ORD-000047,2025-12-14T18:38:00,WH-NJ,Southeast,Apparel,110.92,1
ORD-000048,2025-01-21T12:27:00,WH-DAL,Northeast,Grocery,105.39,2
ORD-000049,2025-07-09T12:31:00,WH-DAL,Midwest,Sports,87.46,1
ORD-000050,2024-10-31T13:14:00,WH-LAX,South,Electronics,65.82,2
ORD-000051,2024-12-23T11:23:00,WH-NJ,West,Apparel,35.38,4
ORD-000052,2025-12-04T21:16:00,WH-ATL,West,Sports,32.05,3
ORD-000053,2024-09-09T05:17:00,WH-DAL,Northeast,Apparel,134.5,1
ORD-000054,2024-10-08T21:58:00,WH-DAL,Southeast,Home,44.6,5
ORD-000055,2025-06-01T16:04:00,WH-LAX,Southeast,Sports,50.3,3
ORD-000056,2025-11-15T12:03:00,WH-LAX,South,Apparel,16.81,3
ORD-000057,2024-11-01T11:00:00,WH-NJ,West,Electronics,97.62,3
ORD-000058,2024-04-12T05:59:00,WH-CHI,West,Home,149.6,2
ORD-000059,2024-11-03T05:32:00,WH-CHI,Northeast,Sports,54.97,1
ORD-000060,2025-05-22T19:23:00,WH-ATL,South,Grocery,153.87,3
ORD-000061,2024-04-20T22:54:00,WH-LAX,Northeast,Home,29.17,3
ORD-000062,2024-01-05T17:27:00,WH-ATL,Southeast,Sports,89.2,2
ORD-000063,2024-02-15T01:48:00,WH-NJ,Midwest,Electronics,69.05,5
ORD-000064,2024-12-02T03:00:00,WH-LAX,Midwest,Grocery,205.66,4
ORD-000065,2024-03-18T23:01:00,WH-ATL,South,Home,64.64,5
ORD-000066,2024-09-30T05:34:00,WH-DAL,South,Apparel,118.96,1
ORD-000067,2024-08-18T21:25:00,WH-DAL,Southeast,Beauty,147.5,4
ORD-000068,2024-04-20T21:33:00,WH-NJ,South,Grocery,21.95,2
ORD-000069,2025-03-18T23:58:00,WH-LAX,South,Grocery,39.66,3
ORD-000070,2025-03-21T23:54:00,WH-DAL,Midwest,Sports,53.19,4
ORD-000071,2025-10-07T21:48:00,WH-NJ,Southeast,Apparel,31.18,4
ORD-000072,2025-10-06T05:25:00,WH-NJ,South,Electronics,18.01,3
ORD-000073,2025-05-25T03:12:00,WH-LAX,South,Apparel,107.31,2
ORD-000074,2024-06-20T01:12:00,WH-NJ,West,Electronics,60.15,3
ORD-000075,2025-08-28T16:04:00,WH-CHI,Northeast,Home,28.22,4
ORD-000076,2025-06-30T00:39:00,WH-ATL,Northeast,Sports,43.96,5
ORD-000077,2025-01-13T13:25:00,WH-ATL,South,Grocery,45.89,5
ORD-000078,2025-02-25T00:22:00,WH-DAL,South,Apparel,113.66,3
ORD-000079,2024-07-16T05:02:00,WH-CHI,Midwest,Sports,67.76,3
ORD-000080,2025-02-23T05:56:00,WH-DAL,West,Grocery,98.45,2
ORD-000081,2024-04-27T05:12:00,WH-DAL,Southeast,Sports,31.14,4
ORD-000082,2025-11-15T01:26:00,WH-LAX,Southeast,Beauty,14.22,3
ORD-000083,2025-01-30T12:39:00,WH-NJ,West,Home,160.41,4
ORD-000084,2024-11-19T04:55:00,WH-CHI,West,Apparel,39.33,1
ORD-000085,2024-01-01T21:54:00,WH-DAL,South,Sports,43.69,4
ORD-000086,2024-11-08T20:25:00,WH-NJ,Southeast,Home,60.42,3
ORD-000087,2025-06-12T10:58:00,WH-CHI,Midwest,Beauty,107.95,1
ORD-000088,2024-06-25T10:21:00,WH-ATL,Southeast,Electronics,34.16,1
ORD-000089,2024-11-22T00:31:00,WH-LAX,Midwest,Home,56.21,5
ORD-000090,2024-10-31T12:28:00,WH-NJ,West,Apparel,6.83,3
ORD-000091,2025-10-05T00:07:00,WH-DAL,South,Apparel,127.86,2
ORD-000092,2025-01-14T00:22:00,WH-ATL,West,Electronics,16.44,5
ORD-000093,2024-11-23T21:56:00,WH-DAL,Southeast,Apparel,80.14,3
ORD-000094,2025-03-27T19:36:00,WH-LAX,Northeast,Apparel,15.74,5
ORD-000095,2025-06-06T09:01:00,WH-CHI,Northeast,Sports,184.92,1
ORD-000096,2024-08-13T20:43:00,WH-CHI,West,Electronics,61.65,1
ORD-000097,2024-04-24T16:13:00,WH-ATL,South,Electronics,128.74,3
ORD-000098,2025-05-08T03:25:00,WH-ATL,South,Home,68.96,1
ORD-000099,2024-02-03T16:36:00,WH-NJ,Midwest,Apparel,144.97,3
ORD-000100,2024-10-13T05:26:00,WH-NJ,Southeast,Apparel,56.48,2
ORD-000101,2025-07-11T01:59:00,WH-DAL,West,Apparel,107.9,3
ORD-000102,2024-10-22T10:35:00,WH-NJ,Southeast,Apparel,90.12,1
ORD-000103,2025-07-01T14:19:00,WH-DAL,Southeast,Sports,58.15,1
ORD-000104,2024-06-02T01:52:00,WH-DAL,Southeast,Home,30.21,2
ORD-000105,2024-08-16T11:43:00,WH-CHI,Midwest,Sports,241.53,3
ORD-000106,2024-01-17T09:56:00,WH-NJ,Northeast,Sports,107.78,1
ORD-000107,2025-04-10T11:14:00,WH-LAX,West,Apparel,116.27,1
ORD-000108,2024-03-26T06:13:00,WH-DAL,Northeast,Apparel,148.63,4
ORD-000109,2025-02-05T09:38:00,WH-NJ,South,Beauty,48.55,3
ORD-000110,2024-06-19T07:25:00,WH-CHI,Southeast,Sports,138.44,5
ORD-000111,2025-03-01T11:01:00,WH-CHI,Midwest,Sports,109.85,3
ORD-000112,2024-02-08T13:51:00,WH-LAX,Midwest,Beauty,115.55,2
ORD-000113,2024-12-24T19:04:00,WH-LAX,Southeast,Grocery,78.7,2
ORD-000114,2024-10-19T15:00:00,WH-LAX,Midwest,Electronics,27.1,5
ORD-000115,2025-01-14T05:38:00,WH-NJ,Midwest,Beauty,99.93,4
ORD-000116,2025-07-28T21:52:00,WH-LAX,Midwest,Electronics,39.46,5
ORD-000117,2024-02-23T14:22:00,WH-LAX,Northeast,Sports,41.66,3
ORD-000118,2025-11-20T17:16:00,WH-CHI,West,Sports,247.84,2
ORD-000119,2024-09-23T08:55:00,WH-DAL,Midwest,Apparel,116.8,1
ORD-000120,2025-04-07T07:24:00,WH-CHI,South,Grocery,113.09,5
ORD-000121,2024-11-11T15:12:00,WH-DAL,Midwest,Sports,30.06,5
ORD-000122,2024-04-24T02:55:00,WH-NJ,South,Grocery,128.61,3
ORD-000123,2025-07-24T15:40:00,WH-DAL,Northeast,Beauty,66.26,4
ORD-000124,2024-01-07T04:42:00,WH-LAX,Northeast,Apparel,48.15,2
ORD-000125,2024-12-21T01:13:00,WH-LAX,South,Grocery,33.19,1
ORD-000126,2024-01-17T07:30:00,WH-NJ,Midwest,Home,75.34,4
ORD-000127,2025-07-25T14:29:00,WH-LAX,Midwest,Beauty,167.58,3
ORD-000128,2024-07-10T16:11:00,WH-ATL,Midwest,Home,40.64,4
ORD-000129,2025-01-15T11:06:00,WH-LAX,South,Home,199.28,2
ORD-000130,2025-04-26T13:33:00,WH-DAL,Southeast,Sports,28.29,4
ORD-000131,2024-01-22T10:26:00,WH-LAX,Midwest,Sports,101.55,5
ORD-000132,2024-03-24T05:18:00,WH-DAL,South,Beauty,117.1,1
ORD-000133,2025-06-07T17:14:00,WH-CHI,Midwest,Electronics,111.47,5
ORD-000134,2025-06-03T14:26:00,WH-NJ,West,Beauty,139.94,1
ORD-000135,2024-08-23T19:35:00,WH-ATL,Midwest,Grocery,88.47,2
ORD-000136,2024-12-09T07:10:00,WH-ATL,West,Apparel,261.52,5
ORD-000137,2025-12-29T00:59:00,WH-NJ,West,Electronics,43.67,1
ORD-000138,2024-02-15T14:15:00,WH-ATL,West,Apparel,73.26,5
ORD-000139,2025-08-11T19:25:00,WH-CHI,West,Apparel,11.17,2
ORD-000140,2025-03-03T16:39:00,WH-DAL,Midwest,Grocery,158.66,4
ORD-000141,2024-09-20T07:49:00,WH-ATL,West,Home,162.82,4
ORD-000142,2025-01-24T21:25:00,WH-LAX,West,Home,97.93,1
ORD-000143,2024-10-27T18:57:00,WH-CHI,West,Sports,166.68,3
ORD-000144,2025-08-16T05:17:00,WH-NJ,Southeast,Home,25.77,5
ORD-000145,2024-07-25T00:06:00,WH-ATL,West,Sports,92.73,5
ORD-000146,2025-05-30T11:19:00,WH-ATL,Southeast,Electronics,177.3,2
ORD-000147,2024-11-30T01:35:00,WH-CHI,Northeast,Beauty,44.96,2
ORD-000148,2025-07-05T20:14:00,WH-NJ,South,Grocery,41.83,5
ORD-000149,2025-07-06T21:59:00,WH-CHI,Southeast,Beauty,37.94,1
ORD-000150,2024-01-28T01:34:00,WH-DAL,West,Beauty,61.24,3
ORD-000151,2025-09-21T13:15:00,WH-LAX,Northeast,Electronics,87.65,3
ORD-000152,2025-05-27T21:19:00,WH-DAL,South,Beauty,137.22,4
ORD-000153,2025-01-01T14:05:00,WH-NJ,South,Apparel,59.38,5
ORD-000154,2024-01-20T00:54:00,WH-LAX,Midwest,Electronics,40.57,5
ORD-000155,2024-08-29T23:58:00,WH-NJ,West,Electronics,63.75,3
ORD-000156,2024-06-26T22:43:00,WH-NJ,Midwest,Apparel,95.63,1
ORD-000157,2025-10-30T05:04:00,WH-NJ,Northeast,Apparel,27.51,2
ORD-000158,2024-05-24T07:46:00,WH-NJ,West,Beauty,26.96,5
ORD-000159,2024-10-30T04:40:00,WH-CHI,West,Electronics,99.05,1
ORD-000160,2025-11-18T12:08:00,WH-DAL,Midwest,Apparel,15.52,2
ORD-000161,2025-08-16T12:40:00,WH-DAL,Midwest,Grocery,30.5,5
ORD-000162,2025-10-16T00:11:00,WH-NJ,South,Sports,17.54,4
ORD-000163,2024-04-11T10:34:00,WH-ATL,South,Apparel,50.66,2
ORD-000164,2025-03-29T20:28:00,WH-ATL,Southeast,Beauty,8.1,2
ORD-000165,2024-12-29T10:44:00,WH-DAL,Northeast,Sports,42.41,1
ORD-000166,2025-12-15T18:14:00,WH-ATL,Midwest,Grocery,15.4,3
ORD-000167,2025-10-30T14:27:00,WH-CHI,West,Apparel,59.0,4
ORD-000168,2024-03-30T10:06:00,WH-NJ,Midwest,Electronics,85.59,1
ORD-000169,2024-06-20T23:44:00,WH-NJ,West,Grocery,270.58,2
ORD-000170,2025-01-12T09:07:00,WH-LAX,South,Home,84.06,2
ORD-000171,2024-05-25T18:35:00,WH-LAX,Midwest,Electronics,96.91,1
ORD-000172,2025-10-23T15:36:00,WH-CHI,West,Electronics,84.1,5
ORD-000173,2025-03-16T01:34:00,WH-CHI,Southeast,Electronics,93.0,4
ORD-000174,2024-12-18T03:02:00,WH-DAL,South,Beauty,172.18,4
ORD-000175,2025-10-03T04:43:00,WH-NJ,Northeast,Apparel,26.52,2
ORD-000176,2025-12-27T11:01:00,WH-LAX,Southeast,Grocery,103.12,4
ORD-000177,2025-03-28T12:28:00,WH-NJ,Southeast,Beauty,145.13,5
ORD-000178,2024-10-05T18:39:00,WH-DAL,West,Beauty,23.87,2
ORD-000179,2025-03-31T06:31:00,WH-LAX,West,Grocery,51.16,1
ORD-000180,2024-12-06T01:26:00,WH-DAL,Northeast,Grocery,46.78,4
ORD-000181,2025-04-10T22:05:00,WH-LAX,Northeast,Sports,64.52,2
ORD-000182,2025-03-04T02:29:00,WH-CHI,Midwest,Beauty,45.83,2
ORD-000183,2024-09-22T01:24:00,WH-ATL,West,Electronics,42.05,5
ORD-000184,2025-03-11T02:34:00,WH-LAX,South,Sports,65.93,4
ORD-000185,2025-10-14T13:19:00,WH-LAX,Midwest,Home,90.69,4
ORD-000186,2025-10-24T18:30:00,WH-LAX,Southeast,Apparel,173.2,1
ORD-000187,2024-03-23T08:34:00,WH-LAX,Midwest,Beauty,58.96,4
ORD-000188,2025-09-06T07:16:00,WH-LAX,West,Grocery,27.73,5
ORD-000189,2025-04-27T06:26:00,WH-ATL,West,Grocery,54.39,2
ORD-000190,2025-07-27T20:53:00,WH-CHI,Midwest,Sports,28.96,5
ORD-000191,2024-11-03T22:52:00,WH-CHI,South,Apparel,61.95,1
ORD-000192,2025-03-11T05:41:00,WH-LAX,Northeast,Electronics,86.97,5
ORD-000193,2024-04-06T09:49:00,WH-ATL,West,Apparel,71.19,1
ORD-000194,2024-03-19T16:59:00,WH-LAX,Northeast,Sports,107.01,3
ORD-000195,2025-10-25T16:04:00,WH-ATL,South,Home,138.25,3
ORD-000196,2025-01-25T18:27:00,WH-LAX,Southeast,Grocery,34.66,4
ORD-000197,2024-12-02T07:39:00,WH-ATL,Midwest,Electronics,112.79,4
ORD-000198,2025-08-12T08:40:00,WH-NJ,Northeast,Apparel,38.82,5
ORD-000199,2025-11-23T15:31:00,WH-CHI,South,Apparel,116.1,1
ORD-000200,2025-05-02T13:59:00,WH-LAX,South,Beauty,53.9,5
ORD-000201,2024-05-01T22:38:00,WH-DAL,South,Sports,51.7,4
ORD-000202,2024-07-21T21:21:00,WH-LAX,Midwest,Apparel,79.15,2
ORD-000203,2025-08-29T14:50:00,WH-ATL,West,Electronics,37.62,3
ORD-000204,2024-01-23T06:43:00,WH-DAL,Midwest,Apparel,54.39,3
ORD-000205,2025-04-17T09:20:00,WH-LAX,South,Electronics,32.72,2
ORD-000206,2025-08-24T21:11:00,WH-ATL,Northeast,Electronics,130.46,3
ORD-000207,2024-04-10T03:46:00,WH-CHI,Midwest,Apparel,106.42,5
ORD-000208,2025-02-08T09:37:00,WH-DAL,Midwest,Beauty,187.56,2
ORD-000209,2024-02-24T19:03:00,WH-ATL,South,Beauty,67.08,3
ORD-000210,2025-02-09T23:44:00,WH-CHI,Midwest,Beauty,6.33,1
ORD-000211,2024-07-01T00:17:00,WH-NJ,West,Home,107.52,5
ORD-000212,2024-06-09T16:05:00,WH-DAL,West,Grocery,110.79,5
ORD-000213,2025-05-19T19:09:00,WH-NJ,Midwest,Grocery,112.52,1
ORD-000214,2025-07-16T20:18:00,WH-CHI,Northeast,Sports,20.18,5
ORD-000215,2024-12-21T05:25:00,WH-NJ,Southeast,Electronics,44.77,4
ORD-000216,2025-10-25T03:20:00,WH-CHI,South,Home,49.05,2
ORD-000217,2025-02-03T21:30:00,WH-ATL,Midwest,Sports,125.03,2
ORD-000218,2025-06-02T05:14:00,WH-CHI,Midwest,Sports,211.88,4
ORD-000219,2024-05-21T04:57:00,WH-LAX,West,Sports,21.45,4
ORD-000220,2025-03-20T08:32:00,WH-LAX,Midwest,Grocery,254.62,1
ORD-000221,2025-10-25T01:27:00,WH-NJ,West,Electronics,21.36,2
ORD-000222,2025-05-31T01:21:00,WH-NJ,Northeast,Home,91.97,4
ORD-000223,2024-12-09T14:39:00,WH-NJ,Midwest,Electronics,38.74,4
ORD-000224,2024-08-01T14:55:00,WH-CHI,Northeast,Home,34.16,2
ORD-000225,2024-01-26T16:01:00,WH-ATL,Northeast,Electronics,141.16,1
ORD-000226,2025-01-13T17:42:00,WH-DAL,Midwest,Apparel,44.81,4
ORD-000227,2025-04-20T08:35:00,WH-DAL,South,Grocery,23.77,4
ORD-000228,2025-01-20T06:15:00,WH-DAL,South,Grocery,68.82,1
ORD-000229,2025-06-03T04:31:00,WH-DAL,Southeast,Grocery,80.09,1
ORD-000230,2025-07-28T12:54:00,WH-ATL,South,Beauty,42.09,3
ORD-000231,2024-09-03T04:24:00,WH-NJ,Northeast,Grocery,77.62,1
ORD-000232,2025-01-06T05:49:00,WH-DAL,Northeast,Beauty,60.01,5
ORD-000233,2025-12-28T01:21:00,WH-CHI,South,Beauty,41.34,2
ORD-000234,2024-11-09T10:56:00,WH-LAX,Northeast,Home,46.67,5
ORD-000235,2024-09-28T01:01:00,WH-DAL,Midwest,Beauty,94.06,3
ORD-000236,2025-05-30T14:37:00,WH-DAL,South,Beauty,44.4,4
ORD-000237,2025-02-04T06:08:00,WH-DAL,South,Electronics,47.82,4
ORD-000238,2025-05-15T07:34:00,WH-CHI,Southeast,Electronics,25.53,2
ORD-000239,2025-09-05T22:21:00,WH-LAX,Northeast,Home,113.41,4
ORD-000240,2025-02-01T23:37:00,WH-ATL,Midwest,Electronics,42.62,1
ORD-000241,2025-10-15T10:52:00,WH-LAX,West,Beauty,48.64,5
ORD-000242,2024-03-02T16:47:00,WH-CHI,West,Sports,107.09,5
ORD-000243,2024-10-30T19:36:00,WH-DAL,Midwest,Sports,25.94,4
ORD-000244,2025-08-27T21:39:00,WH-CHI,West,Home,58.51,4
ORD-000245,2025-06-23T03:21:00,WH-NJ,South,Apparel,80.79,1
ORD-000246,2025-12-22T16:11:00,WH-CHI,Southeast,Electronics,62.44,1
ORD-000247,2025-02-27T13:34:00,WH-DAL,Southeast,Electronics,127.34,2
ORD-000248,2024-12-28T21:40:00,WH-DAL,West,Sports,40.94,1
ORD-000249,2025-07-04T12:10:00,WH-DAL,South,Electronics,159.07,5
ORD-000250,2024-04-18T11:47:00,WH-ATL,Northeast,Sports,36.79,3
ORD-000251,2024-06-22T22:29:00,WH-DAL,West,Apparel,108.69,4
ORD-000252,2025-08-16T04:18:00,WH-DAL,South,Home,24.07,2
ORD-000253,2024-04-14T09:01:00,WH-LAX,Southeast,Home,73.18,4
ORD-000254,2025-03-29T20:01:00,WH-CHI,Northeast,Apparel,104.78,4
ORD-000255,2025-02-22T10:00:00,WH-LAX,Midwest,Electronics,55.79,4
ORD-000256,2024-10-03T21:42:00,WH-NJ,South,Sports,18.67,4
ORD-000257,2024-12-29T01:31:00,WH-DAL,Southeast,Home,13.49,4
ORD-000258,2025-01-14T00:23:00,WH-NJ,Midwest,Electronics,133.87,4
ORD-000259,2025-10-30T09:59:00,WH-NJ,South,Home,15.54,5
ORD-000260,2025-01-26T01:47:00,WH-ATL,Midwest,Electronics,33.97,5
ORD-000261,2025-01-10T23:58:00,WH-LAX,Midwest,Grocery,59.43,2
ORD-000262,2024-09-18T14:52:00,WH-ATL,South,Beauty,48.16,4
ORD-000263,2024-07-19T16:28:00,WH-CHI,South,Sports,62.51,5
ORD-000264,2025-01-13T22:50:00,WH-CHI,West,Apparel,83.19,4
ORD-000265,2025-06-16T11:10:00,WH-NJ,Southeast,Sports,216.2,3
ORD-000266,2025-05-23T16:34:00,WH-ATL,West,Home,30.87,5
ORD-000267,2025-06-03T04:16:00,WH-ATL,Midwest,Home,75.57,4
ORD-000268,2024-09-02T20:53:00,WH-DAL,West,Electronics,87.12,4
ORD-000269,2025-08-04T16:50:00,WH-NJ,South,Beauty,31.23,3
ORD-000270,2025-12-15T18:49:00,WH-LAX,Southeast,Beauty,38.5,4
ORD-000271,2024-12-30T02:47:00,WH-DAL,West,Electronics,57.43,5
ORD-000272,2024-10-13T22:15:00,WH-ATL,Midwest,Home,121.44,2
ORD-000273,2024-11-15T20:15:00,WH-ATL,West,Grocery,42.32,1
ORD-000274,2024-10-18T04:00:00,WH-ATL,West,Electronics,111.23,2
ORD-000275,2025-12-03T07:22:00,WH-NJ,South,Grocery,219.99,2
ORD-000276,2024-02-14T18:58:00,WH-NJ,Northeast,Beauty,106.45,4
ORD-000277,2024-11-17T01:25:00,WH-DAL,South,Home,109.41,5
ORD-000278,2024-11-16T16:40:00,WH-DAL,South,Electronics,55.01,1
ORD-000279,2024-07-01T22:31:00,WH-CHI,West,Apparel,107.93,4
ORD-000280,2024-07-23T22:07:00,WH-NJ,South,Apparel,29.47,3
ORD-000281,2025-12-16T16:14:00,WH-LAX,West,Apparel,118.01,2
ORD-000282,2025-01-24T04:43:00,WH-ATL,Midwest,Electronics,28.0,1
ORD-000283,2025-11-04T11:03:00,WH-NJ,Southeast,Electronics,95.06,1
ORD-000284,2025-11-28T22:25:00,WH-DAL,West,Apparel,56.0,5
ORD-000285,2024-08-22T12:36:00,WH-DAL,West,Electronics,39.64,4
ORD-000286,2024-10-19T09:16:00,WH-CHI,Northeast,Home,50.19,2
ORD-000287,2024-08-14T11:40:00,WH-DAL,South,Sports,171.57,3
ORD-000288,2024-04-09T12:22:00,WH-ATL,Midwest,Beauty,39.51,4
ORD-000289,2024-11-21T11:43:00,WH-CHI,Southeast,Sports,31.96,2
ORD-000290,2025-07-18T11:46:00,WH-ATL,South,Apparel,19.96,4
ORD-000291,2025-02-01T09:34:00,WH-NJ,Southeast,Grocery,115.15,2
ORD-000292,2024-07-06T05:00:00,WH-DAL,Southeast,Apparel,30.12,5
ORD-000293,2025-11-12T14:29:00,WH-ATL,Southeast,Sports,139.54,1
ORD-000294,2025-09-29T11:15:00,WH-DAL,Northeast,Home,33.48,3
ORD-000295,2024-08-12T22:24:00,WH-CHI,Northeast,Sports,35.79,4
ORD-000296,2025-04-15T11:25:00,WH-NJ,West,Beauty,34.22,4
ORD-000297,2024-10-04T08:16:00,WH-CHI,Northeast,Electronics,82.97,5
ORD-000298,2025-03-31T07:03:00,WH-DAL,South,Beauty,153.31,4
ORD-000299,2025-07-22T14:30:00,WH-NJ,Midwest,Sports,17.25,1
ORD-000300,2025-02-25T01:14:00,WH-ATL,Midwest,Grocery,62.63,2
ORD-000301,2025-08-12T09:45:00,WH-LAX,Midwest,Sports,117.91,1
ORD-000302,2024-11-26T12:49:00,WH-LAX,Midwest,Home,61.33,3
ORD-000303,2024-03-30T11:10:00,WH-ATL,Midwest,Grocery,71.0,3
ORD-000304,2025-07-24T01:16:00,WH-LAX,Northeast,Sports,65.22,4
ORD-000305,2025-05-09T00:42:00,WH-NJ,Northeast,Beauty,95.98,3
ORD-000306,2025-12-28T09:59:00,WH-CHI,Southeast,Electronics,54.45,4
ORD-000307,2025-10-14T12:09:00,WH-NJ,Northeast,Apparel,38.64,5
ORD-000308,2025-08-28T02:34:00,WH-NJ,South,Apparel,139.59,1
ORD-000309,2024-04-23T00:57:00,WH-LAX,Northeast,Electronics,12.52,2
ORD-000310,2024-07-11T16:21:00,WH-NJ,Northeast,Sports,88.5,4
ORD-000311,2024-10-08T18:18:00,WH-DAL,Northeast,Apparel,178.99,5
ORD-000312,2025-04-06T03:22:00,WH-CHI,Midwest,Sports,32.46,4
ORD-000313,2025-05-08T03:57:00,WH-DAL,Midwest,Home,28.07,5
ORD-000314,2024-06-12T01:28:00,WH-CHI,Northeast,Sports,41.09,5
ORD-000315,2025-11-11T21:05:00,WH-LAX,South,Grocery,15.78,4
ORD-000316,2025-05-29T18:21:00,WH-ATL,West,Electronics,52.68,5
ORD-000317,2025-06-20T15:26:00,WH-NJ,South,Grocery,131.01,5
ORD-000318,2024-11-05T20:07:00,WH-DAL,Southeast,Apparel,14.63,1
ORD-000319,2025-07-13T19:46:00,WH-DAL,Midwest,Electronics,69.56,3
ORD-000320,2024-03-21T08:23:00,WH-CHI,Midwest,Grocery,74.36,1
ORD-000321,2025-08-15T01:58:00,WH-DAL,Midwest,Beauty,88.84,3
ORD-000322,2024-12-02T16:11:00,WH-DAL,South,Beauty,100.74,3
ORD-000323,2024-02-12T19:34:00,WH-LAX,Southeast,Beauty,110.73,5
ORD-000324,2024-06-16T18:52:00,WH-LAX,Northeast,Sports,72.21,4
ORD-000325,2024-05-30T01:55:00,WH-NJ,South,Home,74.35,3
ORD-000326,2024-06-27T17:51:00,WH-ATL,South,Home,48.29,5
ORD-000327,2025-07-22T13:04:00,WH-LAX,Southeast,Home,22.5,3
ORD-000328,2025-03-25T14:38:00,WH-ATL,West,Grocery,99.24,4
ORD-000329,2024-01-29T23:17:00,WH-ATL,Midwest,Sports,98.61,2
ORD-000330,2025-06-01T04:27:00,WH-LAX,Southeast,Electronics,26.22,2
ORD-000331,2024-04-07T02:15:00,WH-CHI,Northeast,Home,15.86,3
ORD-000332,2025-10-30T14:37:00,WH-NJ,West,Home,160.63,2
ORD-000333,2024-05-13T14:26:00,WH-ATL,West,Electronics,139.83,3
ORD-000334,2025-05-22T01:28:00,WH-NJ,Southeast,Sports,54.15,2
ORD-000335,2025-02-17T12:27:00,WH-ATL,Northeast,Electronics,76.76,1
ORD-000336,2025-10-11T03:08:00,WH-CHI,West,Grocery,32.34,1
ORD-000337,2025-01-01T14:03:00,WH-DAL,Midwest,Beauty,57.19,1
ORD-000338,2024-02-10T09:49:00,WH-DAL,West,Beauty,37.12,3
